Test ID,Module,Feature Area,User Role,Login Email,Test Title,Steps to Execute,Expected Result,Pass/Fail,Tester Notes,Improvement Suggestions
M1-01,Module 1: Design System,Landing Page,Guest (No Login),,Landing page loads correctly,"1. Open the app URL (http://localhost:5173)
2. Observe the hero section, navigation bar, and overall layout
3. Check that the Neoa branding and logo appear
4. Scroll down to see all sections","Hero section with headline is visible. Navigation shows Login/Sign Up buttons. Page uses Neoa design system (dark theme, glassmorphism). No broken layouts or missing images.",,,
M1-02,Module 1: Design System,Responsive Design,Guest (No Login),,Mobile responsiveness check,"1. Open browser DevTools (F12)
2. Toggle device toolbar (Ctrl+Shift+M)
3. Test at 375px (iPhone), 768px (iPad), 1920px (Desktop)
4. Check navigation collapses to hamburger menu on mobile
5. Verify no horizontal overflow at any breakpoint","Layout adapts smoothly. Nav collapses on mobile. Text remains readable. Images scale properly. No horizontal scroll bars appear.",,,
M1-03,Module 1: Design System,How It Works Section,Guest (No Login),,How It Works section renders,"1. Scroll to the 'How It Works' section on the landing page
2. Verify 3-step flow is displayed (Browse → Pay Securely → Receive)
3. Check icons/illustrations load
4. Hover over cards if interactive","Three-step flow clearly visible with icons. Steps explain escrow model. Cards may have hover effects. Section is properly spaced.",,,
M1-04,Module 1: Design System,Footer & Navigation,Guest (No Login),,Footer and global nav links work,"1. Scroll to page bottom
2. Check footer has copyright info and useful links
3. Click catalog/browse link in nav
4. Click any footer links
5. Check social media icons if present","Footer renders with copyright and links. Navigation links route correctly without 404. Links open in current tab or new tab as appropriate.",,,
M2-01,Module 2: Authentication,Sign Up (Buyer),Guest (No Login),,New buyer registration flow,"1. Click Sign Up / Register
2. Fill: Email=newbuyer.test@neoa.com, Password=TestPass2026!, Full Name=Test New Buyer
3. Select role 'Buyer' if role selection exists
4. Submit the form
5. Check for confirmation message or email verification notice","Account is created. User sees confirmation or is redirected to login/dashboard. If email confirmation is enabled, a message says 'Check your email'. Profile is created in the database with role=BUYER.",,,
M2-02,Module 2: Authentication,Login (Buyer),Buyer,testbuyer@afia.com,Buyer login with valid credentials,"1. Navigate to Login page
2. Enter: Email=testbuyer@afia.com, Password=NeoaTest2026!
3. Click Login
4. Wait for redirect","Login succeeds. User is redirected to the Buyer Dashboard. Navigation shows user name 'Amara Obi'. No error toast appears.",,,
M2-03,Module 2: Authentication,Login (Vendor),Vendor,testvendor@afia.com,Vendor login with valid credentials,"1. Navigate to Login page (logout first if needed)
2. Enter: Email=testvendor@afia.com, Password=NeoaTest2026!
3. Click Login
4. Wait for redirect","Login succeeds. Redirected to Vendor Dashboard. Navigation shows 'Chidi Eze (Lagos Vendor)'. Vendor menu items visible (Products, Orders, Settings).",,,
M2-04,Module 2: Authentication,Login (Admin),Super Admin,testadmin@afia.com,Admin login with valid credentials,"1. Navigate to Login page (logout first if needed)
2. Enter: Email=testadmin@afia.com, Password=NeoaTest2026!
3. Click Login
4. Wait for redirect","Login succeeds. Redirected to Admin Dashboard (God Mode). Shows admin nav with: Analytics, Vendors, Buyers, Disputes, Payouts, KYC Review, Audit Log.",,,
M2-05,Module 2: Authentication,Login Failure,Guest (No Login),,Login with wrong password,"1. Go to Login page
2. Enter: Email=testbuyer@afia.com, Password=WrongPassword123
3. Click Login","Login fails. Error message displayed (e.g. 'Invalid login credentials'). User stays on login page. No crash.",,,
M2-06,Module 2: Authentication,Logout,Buyer,testbuyer@afia.com,Logout flow,"1. Login as Test Buyer
2. Find and click Logout button (usually in nav dropdown or sidebar)
3. Observe redirect","User is logged out. Redirected to landing page or login page. Protected routes are no longer accessible. Session is cleared.",,,
M2-07,Module 2: Authentication,Route Protection,Guest (No Login),,Access protected route without auth,"1. While logged out, navigate directly to /dashboard in the browser URL bar
2. Try /vendor/products
3. Try /admin","All attempts redirect to the Login page. No dashboard content is leaked. Auth guard works for all protected routes.",,,
